imu9250 monitor started
time, gx, gy, gz, ax, ay, az, mx, my, mz, comp, temp
21251,-2.144,0.716,-0.005,-0.016,0.005,1.032,11.143,-7.681,9.737,214.580,23.299178867622597
21352,-2.175,0.709,-0.001,-0.015,0.005,1.033,11.343,-7.434,9.739,213.241,23.296407220854
21454,-2.231,0.719,0.034,-0.015,0.005,1.034,11.474,-7.327,9.710,212.562,23.26543619690664
21555,-2.260,0.753,0.035,-0.015,0.005,1.034,11.668,-7.151,9.597,211.503,23.240659377748752
21656,-2.226,0.724,0.057,-0.015,0.004,1.034,11.793,-7.280,9.657,211.688,23.21125335357828
21757,-2.194,0.741,0.087,-0.015,0.004,1.035,11.864,-7.414,9.795,212.001,23.226066809618548
21858,-2.196,0.686,0.132,-0.015,0.003,1.035,11.920,-7.520,9.905,212.247,23.199579299074117
21960,-2.215,0.643,0.162,-0.015,0.003,1.034,11.755,-7.456,9.963,212.385,23.216727566015216
22061,-2.220,0.643,0.108,-0.015,0.003,1.034,11.713,-7.254,10.040,211.770,23.220861610723937
22162,-2.193,0.665,0.148,-0.015,0.003,1.033,11.710,-7.363,10.071,212.160,23.24333798417923
22263,-2.230,0.682,0.133,-0.014,0.003,1.033,11.797,-7.479,10.186,212.376,23.251734514099308
22364,-2.219,0.716,0.101,-0.015,0.003,1.034,11.716,-7.303,10.068,211.936,23.26803630687953
22466,-2.219,0.703,0.070,-0.014,0.004,1.035,11.716,-7.303,10.068,211.936,23.242739465727063
22567,-2.219,0.703,0.070,-0.014,0.004,1.035,11.712,-7.222,10.213,211.658,23.242739465727063
22668,-2.210,0.718,0.031,-0.014,0.003,1.035,11.439,-7.307,10.180,212.569,23.26084026818173
22770,-2.269,0.663,0.050,-0.015,0.003,1.033,11.220,-7.375,10.153,213.316,23.29449004783379
22871,-2.242,0.639,0.075,-0.014,0.003,1.033,11.105,-7.369,10.012,213.567,23.26390245849047
22972,-2.230,0.659,0.043,-0.014,0.004,1.034,11.103,-6.975,9.929,212.136,23.27777066239246
23073,-2.227,0.706,0.036,-0.014,0.004,1.035,10.952,-7.109,9.892,212.989,23.26969608782573
23175,-2.224,0.688,0.041,-0.015,0.004,1.034,10.921,-7.427,9.773,214.218,23.23448272163986
23276,-2.225,0.641,0.060,-0.015,0.004,1.033,10.926,-7.231,9.768,213.498,23.254234872911972
23377,-2.236,0.674,0.079,-0.015,0.004,1.033,11.259,-7.164,9.613,212.468,23.289205731617983
23478,-2.248,0.719,0.048,-0.014,0.004,1.033,11.527,-7.111,9.490,211.671,23.250090436673666
23579,-2.198,0.740,-0.014,-0.014,0.005,1.033,11.470,-7.278,9.601,212.395,23.247551907250696
23681,-2.212,0.719,-0.000,-0.015,0.004,1.032,11.545,-7.472,9.690,212.910,23.25510565255648
23782,-2.192,0.711,0.020,-0.014,0.004,1.031,11.575,-7.297,9.611,212.227,23.251564079956946
23883,-2.202,0.697,0.034,-0.014,0.004,1.029,11.539,-7.277,9.668,212.236,23.24873082187732
23984,-2.192,0.718,0.038,-0.015,0.004,1.030,11.540,-7.411,9.504,212.707,23.26563335310194
24085,-2.218,0.660,0.061,-0.015,0.004,1.030,11.541,-7.638,9.912,213.496,23.279155378081633
24186,-2.218,0.660,0.061,-0.015,0.004,1.030,11.541,-7.638,9.912,213.496,23.279155378081633
24288,-2.214,0.683,0.078,-0.015,0.004,1.030,11.692,-7.730,9.909,213.469,23.251634722688745
24389,-2.252,0.681,0.050,-0.014,0.004,1.030,11.813,-7.803,9.906,213.448,23.26795647375108
24490,-2.270,0.742,0.051,-0.015,0.004,1.030,11.579,-7.832,9.934,214.073,23.28101387460095
24591,-2.269,0.735,0.091,-0.015,0.004,1.030,11.423,-7.885,9.747,214.617,23.291459795280844
24693,-2.290,0.767,0.067,-0.015,0.005,1.032,11.537,-7.867,9.777,214.290,23.261478256448115
24794,-2.261,0.723,0.082,-0.014,0.006,1.032,11.629,-7.733,9.740,213.624,23.275831300758576
24895,-2.213,0.734,0.124,-0.014,0.006,1.032,11.642,-7.686,9.951,213.432,23.268144598518624
24996,-2.205,0.737,0.084,-0.014,0.005,1.033,11.413,-7.528,9.820,213.410,23.28116437441498
25097,-2.181,0.704,0.104,-0.014,0.005,1.034,11.499,-7.552,9.985,213.294,23.28199562628791
25198,-2.215,0.693,0.116,-0.014,0.005,1.033,11.568,-7.571,10.118,213.203,23.320998903162895
25300,-2.191,0.687,0.089,-0.014,0.005,1.032,11.564,-7.586,10.163,213.266,23.304278680442078
25401,-2.174,0.684,0.150,-0.014,0.005,1.033,11.650,-7.568,9.930,213.009,23.290902502265425
25502,-2.174,0.684,0.183,-0.014,0.005,1.034,11.449,-7.644,9.953,213.729,23.251447853191618
25603,-2.133,0.661,0.181,-0.014,0.005,1.033,11.498,-7.794,9.942,214.132,23.2869761158417
25704,-2.176,0.635,0.169,-0.015,0.005,1.034,11.778,-7.795,9.992,213.498,23.315398725961764
25805,-2.159,0.638,0.204,-0.015,0.005,1.035,11.851,-7.825,9.763,213.437,23.299798538681173
25906,-2.159,0.638,0.204,-0.015,0.005,1.035,11.851,-7.825,9.763,213.437,23.299798538681173
26008,-2.184,0.652,0.237,-0.014,0.006,1.035,11.940,-7.700,9.790,212.817,23.30648752654502
26109,-2.202,0.671,0.186,-0.014,0.006,1.033,12.011,-7.599,9.811,212.321,23.292669579147777
26210,-2.231,0.676,0.183,-0.014,0.005,1.034,11.798,-7.549,9.978,212.613,23.281615221229984
26311,-2.217,0.669,0.206,-0.014,0.004,1.035,11.687,-7.448,10.052,212.510,23.29194087258407
26412,-2.221,0.662,0.210,-0.014,0.004,1.035,11.599,-7.428,9.930,212.636,23.30020139366734
26514,-2.256,0.664,0.197,-0.015,0.004,1.034,11.348,-7.412,9.894,213.150,23.306809810533956
26615,-2.268,0.645,0.173,-0.015,0.004,1.036,11.538,-7.369,9.954,212.566,23.31209654402725
26716,-2.295,0.629,0.183,-0.015,0.004,1.037,11.629,-7.514,10.002,212.870,23.277987655445237
26817,-2.299,0.658,0.151,-0.015,0.004,1.037,11.492,-7.781,9.831,214.100,23.308207957644594
26918,-2.292,0.628,0.169,-0.015,0.004,1.035,11.383,-7.994,9.694,215.079,23.303630492871598
27019,-2.264,0.654,0.085,-0.015,0.005,1.035,11.505,-7.775,9.615,214.048,23.299968521053202
27121,-2.278,0.630,0.094,-0.015,0.004,1.034,11.543,-7.899,9.671,214.383,23.325792650130968
27222,-2.265,0.579,0.113,-0.014,0.004,1.034,11.514,-7.579,9.776,213.354,23.32728281570486
27323,-2.259,0.594,0.095,-0.015,0.004,1.034,11.430,-7.502,9.800,213.280,23.328474948163972
27425,-2.210,0.594,0.032,-0.014,0.004,1.035,11.423,-7.681,9.639,213.918,23.3198440852871
27526,-2.200,0.640,0.076,-0.014,0.005,1.037,11.208,-7.614,9.780,214.192,23.322523963829763
27627,-2.200,0.640,0.076,-0.014,0.005,1.037,11.208,-7.614,9.780,214.192,23.322523963829763
27728,-2.274,0.663,0.042,-0.014,0.005,1.036,11.035,-7.561,9.894,214.417,23.30549872897557
